"C1",  "C2",  "C3",  "C4",  "C5",  "C6",  "C7",  "C8", "C9", "C10", "P-value", "Proportion",  "Test"
"29", "29", "25", "21", "21", "27", "27", "20", "25", "16", "0.6371", "0.9875", "AperiodicTemplate"
"27", "28", "21", "28", "14", "30", "22", "21", "29", "20", "0.3504", "0.9958", "AperiodicTemplate"
"23", "26", "23", "27", "26", "35", "19", "21", "23", "17", "0.4070", "0.9625", "AperiodicTemplate"
"22", "22", "25", "22", "33", "23", "22", "22", "21", "28", "0.8043", "0.9916", "AperiodicTemplate"
"26", "24", "25", "20", "27", "25", "21", "16", "32", "24", "0.6371", "0.9875", "AperiodicTemplate"
"29", "26", "25", "25", "26", "20", "16", "30", "27", "16", "0.4070", "0.9916", "AperiodicTemplate"
"20", "26", "23", "19", "21", "22", "23", "28", "34", "24", "0.6024", "0.9791", "AperiodicTemplate"
"25", "23", "27", "24", "29", "20", "22", "18", "26", "26", "0.9001", "0.9916", "AperiodicTemplate"
"20", "23", "24", "28", "21", "26", "21", "22", "19", "36", "0.3924", "0.9916", "AperiodicTemplate"
"28", "29", "19", "22", "22", "24", "21", "28", "22", "25", "0.8881", "0.9791", "AperiodicTemplate"
"31", "19", "24", "22", "28", "35", "20", "23", "21", "17", "0.2086", "0.9791", "AperiodicTemplate"
"23", "21", "19", "26", "26", "32", "25", "22", "19", "27", "0.7315", "0.9875", "AperiodicTemplate"
"15", "25", "27", "29", "26", "23", "20", "23", "33", "19", "0.3371", "0.9958", "AperiodicTemplate"
"25", "23", "18", "18", "29", "31", "19", "28", "26", "23", "0.5257", "0.9791", "AperiodicTemplate"
"18", "27", "27", "21", "33", "17", "26", "24", "26", "21", "0.4606", "0.9958", "AperiodicTemplate"
"31", "27", "20", "24", "20", "21", "24", "27", "21", "25", "0.8415", "0.9958", "AperiodicTemplate"
"19", "28", "24", "16", "33", "26", "22", "26", "23", "23", "0.5009", "0.9958", "AperiodicTemplate"
"23", "24", "21", "39", "20", "18", "23", "23", "28", "21", "0.1588", "0.9916", "AperiodicTemplate"
"30", "21", "21", "19", "25", "25", "27", "28", "21", "23", "0.8485", "0.9875", "AperiodicTemplate"
"16", "33", "21", "33", "23", "22", "26", "17", "28", "21", "0.1516", "0.9875", "AperiodicTemplate"
"23", "16", "28", "20", "16", "28", "29", "29", "24", "27", "0.3641", "0.9833", "AperiodicTemplate"
"27", "23", "21", "21", "21", "27", "21", "25", "27", "27", "0.9608", "0.9916", "AperiodicTemplate"
"26", "18", "24", "24", "25", "25", "29", "28", "14", "27", "0.5341", "0.9791", "AperiodicTemplate"
"15", "26", "21", "26", "26", "20", "32", "28", "20", "26", "0.4296", "0.9958", "AperiodicTemplate"
"19", "19", "25", "18", "26", "29", "28", "27", "23", "26", "0.7315", "0.9875", "AperiodicTemplate"
"31", "29", "17", "26", "18", "19", "23", "33", "20", "24", "0.2180", "0.9875", "AperiodicTemplate"
"27", "22", "23", "21", "32", "25", "28", "23", "18", "21", "0.7146", "0.9875", "AperiodicTemplate"
"28", "22", "25", "31", "22", "18", "20", "22", "25", "27", "0.7564", "0.9875", "AperiodicTemplate"
"18", "29", "18", "27", "26", "18", "25", "26", "29", "24", "0.6024", "0.9875", "AperiodicTemplate"
"21", "15", "18", "32", "16", "19", "30", "35", "22", "32", "0.0126", "0.9916", "AperiodicTemplate"
"20", "27", "21", "23", "24", "29", "21", "25", "23", "27", "0.9496", "0.9916", "AperiodicTemplate"
"18", "20", "32", "24", "24", "17", "30", "29", "26", "20", "0.3306", "0.9916", "AperiodicTemplate"
"22", "28", "17", "22", "24", "25", "25", "26", "21", "30", "0.8195", "0.9875", "AperiodicTemplate"
"31", "18", "28", "21", "15", "21", "26", "22", "33", "25", "0.2086", "0.975", "AperiodicTemplate"
"22", "24", "29", "23", "22", "24", "24", "27", "18", "27", "0.9319", "0.9916", "AperiodicTemplate"
"26", "18", "28", "21", "27", "27", "29", "26", "17", "21", "0.6284", "0.9875", "AperiodicTemplate"
"28", "21", "20", "28", "28", "28", "27", "26", "19", "15", "0.4685", "0.9708", "AperiodicTemplate"
"21", "15", "28", "26", "22", "30", "22", "21", "27", "28", "0.5510", "0.9875", "AperiodicTemplate"
"33", "23", "22", "26", "27", "24", "23", "10", "24", "28", "0.1626", "0.9833", "AperiodicTemplate"
"24", "26", "21", "19", "35", "26", "26", "18", "26", "19", "0.3781", "0.9916", "AperiodicTemplate"
"26", "20", "21", "28", "23", "22", "25", "25", "25", "25", "0.9868", "0.975", "AperiodicTemplate"
"23", "16", "19", "25", "25", "24", "33", "23", "26", "26", "0.5766", "0.9958", "AperiodicTemplate"
"25", "24", "21", "24", "26", "29", "27", "18", "21", "25", "0.9168", "0.9916", "AperiodicTemplate"
"16", "27", "25", "30", "20", "19", "28", "22", "27", "26", "0.5680", "1.0", "AperiodicTemplate"
"16", "26", "18", "31", "25", "30", "21", "22", "29", "22", "0.3781", "0.9916", "AperiodicTemplate"
"23", "28", "20", "25", "29", "22", "28", "21", "20", "24", "0.8881", "0.9916", "AperiodicTemplate"
"32", "19", "20", "23", "24", "29", "32", "19", "14", "28", "0.1223", "0.9708", "AperiodicTemplate"
"21", "18", "21", "32", "26", "20", "27", "25", "21", "29", "0.5766", "0.9875", "AperiodicTemplate"
"25", "22", "16", "23", "26", "25", "31", "14", "22", "36", "0.0780", "0.9916", "AperiodicTemplate"
"20", "23", "25", "28", "35", "19", "22", "12", "32", "24", "0.0602", "0.9958", "AperiodicTemplate"
"26", "25", "20", "24", "21", "27", "23", "16", "33", "25", "0.5595", "0.9875", "AperiodicTemplate"
"16", "24", "27", "22", "23", "35", "19", "26", "25", "23", "0.3852", "0.9958", "AperiodicTemplate"
"13", "22", "20", "34", "22", "26", "26", "27", "24", "26", "0.2700", "1.0", "AperiodicTemplate"
"16", "30", "20", "21", "27", "29", "24", "20", "28", "25", "0.5341", "0.9958", "AperiodicTemplate"
"28", "28", "29", "21", "23", "14", "19", "28", "25", "25", "0.4606", "0.9791", "AperiodicTemplate"
"15", "31", "27", "24", "28", "27", "23", "21", "18", "26", "0.4450", "0.9958", "AperiodicTemplate"
"16", "22", "24", "26", "27", "24", "29", "27", "14", "31", "0.2757", "1.0", "AperiodicTemplate"
"25", "24", "22", "26", "32", "16", "20", "30", "21", "24", "0.5091", "0.9916", "AperiodicTemplate"
"29", "16", "23", "25", "20", "23", "28", "21", "32", "23", "0.5091", "0.9833", "AperiodicTemplate"
"25", "31", "27", "27", "23", "25", "20", "23", "22", "17", "0.7564", "0.9916", "AperiodicTemplate"
"24", "21", "23", "24", "24", "22", "33", "23", "27", "19", "0.7965", "0.9833", "AperiodicTemplate"
"18", "26", "23", "26", "28", "29", "24", "18", "24", "24", "0.8269", "0.9916", "AperiodicTemplate"
"17", "34", "26", "19", "25", "29", "26", "20", "23", "21", "0.3711", "1.0", "AperiodicTemplate"
"14", "13", "27", "23", "20", "27", "24", "30", "34", "28", "0.0487", "0.9958", "AperiodicTemplate"
"17", "28", "19", "26", "30", "26", "36", "16", "28", "14", "0.0244", "0.9916", "AperiodicTemplate"
