"C1",  "C2",  "C3",  "C4",  "C5",  "C6",  "C7",  "C8", "C9", "C10", "P-value", "Proportion",  "Test"
"5", "12", "7", "18", "19", "24", "37", "40", "33", "45", "0.0", "1.0", "AperiodicTemplate"
"3", "3", "12", "22", "18", "17", "39", "36", "38", "52", "0.0", "1.0", "AperiodicTemplate"
"5", "16", "11", "22", "22", "27", "31", "23", "39", "44", "0.0", "1.0", "AperiodicTemplate"
"12", "9", "15", "26", "22", "20", "23", "36", "37", "40", "2e-06", "0.9958", "AperiodicTemplate"
"6", "12", "19", "20", "13", "33", "23", "33", "38", "43", "0.0", "1.0", "AperiodicTemplate"
"10", "7", "15", "18", "30", "18", "27", "28", "32", "55", "0.0", "1.0", "AperiodicTemplate"
"10", "15", "20", "18", "17", "29", "27", "32", "31", "41", "9.2e-0", "0.9958", "AperiodicTemplate"
"1", "12", "13", "24", "18", "23", "25", "34", "46", "44", "0.0", "1.0", "AperiodicTemplate"
"5", "22", "21", "19", "26", "25", "22", "24", "29", "47", "7e-06", "1.0", "AperiodicTemplate"
"6", "15", "20", "21", "20", "31", "29", "38", "22", "38", "1.6e-0", "1.0", "AperiodicTemplate"
"6", "13", "8", "24", "18", "27", "31", "34", "31", "48", "0.0", "0.9958", "AperiodicTemplate"
"9", "9", "19", "19", "25", "30", "28", "25", "28", "48", "0.0", "1.0", "AperiodicTemplate"
"12", "16", "15", "28", "28", "21", "20", "27", "35", "38", "0.0009", "1.0", "AperiodicTemplate"
"6", "14", "18", "15", "19", "20", "24", "38", "38", "48", "0.0", "0.9958", "AperiodicTemplate"
"13", "19", "18", "23", "18", "23", "21", "31", "29", "45", "0.0002", "1.0", "AperiodicTemplate"
"14", "14", "13", "21", "21", "27", "33", "37", "37", "23", "0.0001", "0.9958", "AperiodicTemplate"
"7", "14", "15", "17", "21", "29", "29", "31", "32", "45", "0.0", "1.0", "AperiodicTemplate"
"15", "16", "28", "14", "23", "29", "37", "25", "27", "26", "0.0206", "1.0", "AperiodicTemplate"
"19", "17", "26", "21", "15", "26", "27", "26", "32", "31", "0.1908", "0.9958", "AperiodicTemplate"
"3", "22", "18", "18", "17", "29", "31", "33", "35", "34", "1e-05", "1.0", "AperiodicTemplate"
"6", "13", "11", "21", "19", "33", "31", "32", "26", "48", "0.0", "1.0", "AperiodicTemplate"
"5", "15", "14", "17", "21", "14", "37", "24", "49", "44", "0.0", "1.0", "AperiodicTemplate"
"8", "12", "8", "24", "16", "24", "35", "30", "42", "41", "0.0", "1.0", "AperiodicTemplate"
"5", "6", "22", "21", "19", "15", "33", "32", "35", "52", "0.0", "1.0", "AperiodicTemplate"
"12", "15", "18", "21", "24", "29", "23", "28", "34", "36", "0.0058", "0.9958", "AperiodicTemplate"
"15", "18", "15", "23", "23", "22", "32", "24", "38", "30", "0.0134", "1.0", "AperiodicTemplate"
"9", "12", "17", "14", "26", "23", "22", "41", "40", "36", "0.0", "1.0", "AperiodicTemplate"
"5", "6", "15", "20", "13", "24", "25", "39", "47", "46", "0.0", "1.0", "AperiodicTemplate"
"5", "10", "15", "14", "21", "18", "19", "49", "31", "58", "0.0", "1.0", "AperiodicTemplate"
"6", "9", "12", "18", "23", "26", "29", "35", "32", "50", "0.0", "1.0", "AperiodicTemplate"
"9", "12", "14", "21", "18", "32", "33", "34", "27", "40", "2e-06", "1.0", "AperiodicTemplate"
"12", "13", "16", "25", "28", "21", "25", "31", "38", "31", "0.0013", "1.0", "AperiodicTemplate"
"10", "15", "14", "22", "31", "31", "29", "26", "28", "34", "0.0020", "1.0", "AperiodicTemplate"
"15", "17", "14", "21", "20", "33", "32", "24", "36", "28", "0.0054", "0.9958", "AperiodicTemplate"
"6", "14", "15", "19", "27", "18", "34", "42", "35", "30", "0.0", "1.0", "AperiodicTemplate"
"9", "23", "23", "14", "15", "29", "28", "30", "30", "39", "0.0002", "0.9958", "AperiodicTemplate"
"20", "15", "19", "30", "23", "16", "34", "24", "34", "25", "0.0392", "0.9916", "AperiodicTemplate"
"7", "20", "21", "19", "23", "33", "32", "23", "33", "29", "0.0033", "1.0", "AperiodicTemplate"
"6", "11", "13", "27", "20", "30", "27", "31", "33", "42", "0.0", "1.0", "AperiodicTemplate"
"9", "18", "11", "16", "22", "22", "23", "21", "44", "54", "0.0", "1.0", "AperiodicTemplate"
"6", "12", "17", "19", "24", "24", "25", "38", "36", "39", "1e-06", "0.9958", "AperiodicTemplate"
"5", "13", "17", "15", "21", "19", "30", "27", "39", "54", "0.0", "0.9958", "AperiodicTemplate"
"6", "7", "18", "21", "25", "33", "25", "27", "32", "46", "0.0", "1.0", "AperiodicTemplate"
"8", "15", "21", "17", "17", "34", "28", "29", "36", "35", "5e-05", "0.9958", "AperiodicTemplate"
"10", "17", "22", "26", "16", "22", "23", "28", "28", "48", "1.3e-0", "1.0", "AperiodicTemplate"
"10", "12", "20", "25", "22", "25", "22", "39", "29", "36", "0.0002", "1.0", "AperiodicTemplate"
"8", "10", "12", "16", "17", "21", "30", "28", "49", "49", "0.0", "1.0", "AperiodicTemplate"
"7", "14", "18", "18", "29", "33", "24", "29", "28", "40", "4e-05", "1.0", "AperiodicTemplate"
"7", "14", "23", "16", "24", "21", "26", "37", "35", "37", "1.4e-0", "1.0", "AperiodicTemplate"
"7", "14", "17", "13", "27", "30", "31", "27", "29", "45", "0.0", "1.0", "AperiodicTemplate"
"14", "28", "20", "19", "25", "26", "26", "18", "36", "28", "0.0886", "1.0", "AperiodicTemplate"
"7", "9", "11", "16", "20", "27", "27", "40", "32", "51", "0.0", "1.0", "AperiodicTemplate"
"2", "12", "23", "15", "17", "23", "21", "32", "37", "58", "0.0", "1.0", "AperiodicTemplate"
"6", "15", "15", "19", "26", "26", "20", "34", "38", "41", "0.0", "0.9958", "AperiodicTemplate"
"4", "8", "17", "21", "16", "18", "25", "34", "44", "53", "0.0", "1.0", "AperiodicTemplate"
"8", "11", "13", "18", "19", "23", "31", "35", "39", "43", "0.0", "1.0", "AperiodicTemplate"
"8", "13", "20", "20", "24", "31", "27", "30", "24", "43", "4e-05", "1.0", "AperiodicTemplate"
"11", "9", "5", "15", "29", "18", "38", "36", "28", "51", "0.0", "0.9958", "AperiodicTemplate"
"5", "7", "17", "12", "25", "26", "25", "29", "47", "47", "0.0", "1.0", "AperiodicTemplate"
"8", "10", "11", "22", "20", "30", "34", "17", "41", "47", "0.0", "0.9916", "AperiodicTemplate"
"6", "9", "15", "22", "26", "27", "29", "36", "27", "43", "0.0", "0.9916", "AperiodicTemplate"
"6", "6", "11", "18", "22", "22", "30", "29", "45", "51", "0.0", "1.0", "AperiodicTemplate"
"16", "19", "20", "13", "21", "31", "27", "33", "34", "26", "0.0184", "0.9958", "AperiodicTemplate"
"4", "14", "23", "21", "27", "31", "29", "16", "37", "38", "3e-06", "1.0", "AperiodicTemplate"
"13", "9", "14", "19", "23", "27", "34", "26", "39", "36", "8e-06", "0.9916", "AperiodicTemplate"
"5", "15", "23", "22", "24", "21", "23", "29", "32", "46", "2e-06", "1.0", "AperiodicTemplate"
"7", "16", "16", "17", "23", "21", "30", "32", "31", "47", "0.0", "0.9958", "AperiodicTemplate"
