"C1",  "C2",  "C3",  "C4",  "C5",  "C6",  "C7",  "C8", "C9", "C10", "P-value", "Proportion",  "Test"
"22", "23", "24", "27", "29", "32", "24", "22", "21", "16", "0.5852", "0.9916", "AperiodicTemplate"
"34", "32", "29", "16", "19", "18", "22", "20", "25", "25", "0.1223", "0.9833", "AperiodicTemplate"
"33", "29", "23", "23", "22", "19", "23", "22", "22", "24", "0.7315", "0.9875", "AperiodicTemplate"
"28", "28", "21", "18", "25", "19", "27", "27", "25", "22", "0.8119", "0.9791", "AperiodicTemplate"
"22", "29", "26", "22", "21", "26", "27", "21", "24", "22", "0.9642", "0.9916", "AperiodicTemplate"
"27", "30", "22", "22", "17", "19", "31", "29", "20", "23", "0.4296", "0.9791", "AperiodicTemplate"
"32", "28", "25", "29", "24", "25", "17", "21", "20", "19", "0.4765", "0.9875", "AperiodicTemplate"
"32", "24", "25", "19", "25", "20", "26", "25", "20", "24", "0.8043", "0.9833", "AperiodicTemplate"
"17", "18", "22", "24", "27", "23", "28", "31", "27", "23", "0.6111", "0.9958", "AperiodicTemplate"
"31", "17", "20", "33", "20", "30", "32", "22", "17", "18", "0.0541", "0.9916", "AperiodicTemplate"
"16", "24", "25", "21", "20", "18", "25", "31", "31", "29", "0.3178", "0.9875", "AperiodicTemplate"
"26", "25", "18", "23", "32", "19", "24", "22", "22", "29", "0.6544", "0.9916", "AperiodicTemplate"
"25", "30", "26", "29", "22", "14", "28", "26", "22", "18", "0.3852", "0.9875", "AperiodicTemplate"
"26", "28", "22", "27", "16", "22", "31", "24", "28", "16", "0.3852", "0.9916", "AperiodicTemplate"
"19", "28", "25", "28", "26", "18", "17", "28", "20", "31", "0.3924", "0.9916", "AperiodicTemplate"
"22", "24", "32", "23", "20", "24", "19", "28", "24", "24", "0.8119", "0.9916", "AperiodicTemplate"
"25", "18", "34", "26", "24", "18", "23", "24", "26", "22", "0.5595", "0.9958", "AperiodicTemplate"
"16", "28", "15", "22", "32", "22", "22", "21", "41", "21", "0.0069", "0.9916", "AperiodicTemplate"
"20", "24", "26", "26", "26", "21", "20", "15", "31", "31", "0.3781", "0.9958", "AperiodicTemplate"
"31", "22", "24", "15", "22", "25", "30", "29", "25", "17", "0.3178", "0.9916", "AperiodicTemplate"
"25", "29", "22", "17", "30", "28", "22", "29", "21", "17", "0.4296", "0.9916", "AperiodicTemplate"
"17", "29", "21", "32", "25", "20", "29", "18", "22", "27", "0.3572", "0.9833", "AperiodicTemplate"
"23", "22", "20", "22", "19", "27", "28", "23", "26", "30", "0.8485", "0.9916", "AperiodicTemplate"
"21", "25", "15", "22", "26", "26", "27", "28", "26", "24", "0.7887", "0.9958", "AperiodicTemplate"
"26", "25", "29", "23", "24", "27", "21", "21", "26", "18", "0.9058", "0.9791", "AperiodicTemplate"
"27", "15", "36", "24", "21", "20", "33", "24", "23", "17", "0.0618", "0.9833", "AperiodicTemplate"
"18", "30", "28", "21", "26", "20", "24", "25", "25", "23", "0.8343", "1.0", "AperiodicTemplate"
"19", "18", "20", "31", "33", "18", "30", "21", "24", "26", "0.2040", "0.9916", "AperiodicTemplate"
"30", "24", "28", "20", "22", "28", "25", "29", "18", "16", "0.4450", "0.9958", "AperiodicTemplate"
"26", "14", "20", "23", "18", "31", "21", "26", "33", "28", "0.1552", "0.975", "AperiodicTemplate"
"28", "32", "25", "23", "29", "17", "16", "24", "22", "24", "0.4070", "0.9916", "AperiodicTemplate"
"24", "25", "20", "22", "19", "22", "26", "27", "21", "34", "0.6197", "0.9958", "AperiodicTemplate"
"26", "20", "29", "24", "27", "24", "24", "25", "24", "17", "0.8881", "0.9958", "AperiodicTemplate"
"24", "25", "20", "23", "22", "28", "35", "19", "22", "22", "0.5341", "0.9875", "AperiodicTemplate"
"23", "23", "20", "32", "29", "25", "18", "20", "30", "20", "0.4527", "0.9916", "AperiodicTemplate"
"20", "28", "24", "23", "22", "18", "28", "23", "23", "31", "0.7564", "0.9875", "AperiodicTemplate"
"17", "14", "32", "24", "30", "27", "29", "18", "27", "22", "0.1283", "0.9791", "AperiodicTemplate"
"15", "22", "23", "26", "35", "15", "26", "31", "21", "26", "0.0932", "1.0", "AperiodicTemplate"
"19", "20", "24", "20", "35", "18", "21", "22", "30", "31", "0.1626", "0.9833", "AperiodicTemplate"
"20", "19", "16", "29", "30", "28", "22", "16", "26", "34", "0.0980", "0.9875", "AperiodicTemplate"
